COG,US1270971039,20201222,2742,16.79,46038.18
ETSY,US29786A1060,20201222,457,197.38,90202.66
IWV,US4642876894,20201222,12127,220.93,2679218.11
MPW,US58463J3041,20201222,3000,21.57,64710
PFE,US7170811035,20201222,2350,36.74,86339
WMT,US9311421039,20201222,204,144.2,29416.8
WWE,US98156Q1085,20201222,2027,47.14,95552.78
SFIX,US8608971078,20201222,-900,71.65,-64485
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201223,2742,17.17,47080.14
ETSY,US29786A1060,20201223,457,190.17,86907.69
IWV,US4642876894,20201223,12127,221.17,2682128.59
MPW,US58463J3041,20201223,3000,21.68,65040
PFE,US7170811035,20201223,2350,37.44,87984
WMT,US9311421039,20201223,204,143.22,29216.88
WWE,US98156Q1085,20201223,2027,47.76,96809.52
SFIX,US8608971078,20201223,-900,68.66,-61794
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201224,2742,16.94,46449.48
ETSY,US29786A1060,20201224,457,190.31,86971.67
IWV,US4642876894,20201224,12127,221.87,2690617.49
MPW,US58463J3041,20201224,3000,21.73,65190
PFE,US7170811035,20201224,2350,37.27,87584.5
WMT,US9311421039,20201224,204,143.5,29274
WWE,US98156Q1085,20201224,2027,47.32,95917.64
SFIX,US8608971078,20201224,-900,69.27,-62343
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201225,2742,16.94,46449.48
ETSY,US29786A1060,20201225,457,190.31,86971.67
IWV,US4642876894,20201225,12127,221.87,2690617.49
MPW,US58463J3041,20201225,3000,21.73,65190
PFE,US7170811035,20201225,2350,37.27,87584.5
WMT,US9311421039,20201225,204,143.5,29274
WWE,US98156Q1085,20201225,2027,47.32,95917.64
SFIX,US8608971078,20201225,-900,69.27,-62343
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201228,2742,16.48,45188.16
ETSY,US29786A1060,20201228,457,178.12,81400.84
IWV,US4642876894,20201228,12127,222.97,2703957.19
MPW,US58463J3041,20201228,3000,21.65,64950
PFE,US7170811035,20201228,2350,36.82,86527
WMT,US9311421039,20201228,204,145.22,29624.88
WWE,US98156Q1085,20201228,2027,47.92,97133.84
SFIX,US8608971078,20201228,-900,63.2,-56880
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201229,2742,16.08,44091.36
ETSY,US29786A1060,20201229,457,177.01,80893.57
IWV,US4642876894,20201229,12127,222.13,2693770.51
MPW,US58463J3041,20201229,3000,21.7,65100
PFE,US7170811035,20201229,2350,37.05,87067.5
WMT,US9311421039,20201229,204,144.3,29437.2
WWE,US98156Q1085,20201229,2027,48.17,97640.59
SFIX,US8608971078,20201229,-900,61.73,-55557
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201230,2742,16.47,45160.74
ETSY,US29786A1060,20201230,457,183.18,83713.26
IWV,US4642876894,20201230,12127,222.72,2700925.44
MPW,US58463J3041,20201230,3000,21.61,64830
PFE,US7170811035,20201230,2350,36.74,86339
WMT,US9311421039,20201230,204,144.18,29412.72
WWE,US98156Q1085,20201230,2027,48.38,98066.26
SFIX,US8608971078,20201230,-900,61.83,-55647
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201231,2742,16.28,44639.76
ETSY,US29786A1060,20201231,457,177.91,81304.87
IWV,US4642876894,20201231,12127,223.55,2710990.85
MPW,US58463J3041,20201231,3000,21.79,65370
PFE,US7170811035,20201231,2350,36.81,86503.5
WMT,US9311421039,20201231,204,144.15,29406.6
WWE,US98156Q1085,20201231,2027,48.05,97397.35
SFIX,US8608971078,20201231,-900,58.72,-52848
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20210104,2742,16.6,45517.2
ETSY,US29786A1060,20210104,457,172.08,78640.56
IWV,US4642876894,20210104,12127,220.59,2675094.93
MPW,US58463J3041,20210104,3000,20.8,62400
PFE,US7170811035,20210104,2350,36.81,86503.5
WMT,US9311421039,20210104,204,146.53,29892.12
WWE,US98156Q1085,20210104,2027,47.22,95714.94
SFIX,US8608971078,20210104,-900,56.04,-50436
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20210105,2742,16.76,45955.92
ETSY,US29786A1060,20210105,457,174.98,79965.86
IWV,US4642876894,20210105,12127,222.46,2697772.42
MPW,US58463J3041,20210105,3000,20.88,62640
PFE,US7170811035,20210105,2350,37.19,87396.5
WMT,US9311421039,20210105,204,145.75,29733
WWE,US98156Q1085,20210105,2027,48.02,97336.54
SFIX,US8608971078,20210105,-900,57.18,-51462
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20210106,2742,17.07,46805.94
ETSY,US29786A1060,20210106,457,167.57,76579.49
IWV,US4642876894,20210106,12127,224.17,2718509.59
MPW,US58463J3041,20210106,3000,21,63000
PFE,US7170811035,20210106,2350,36.87,86644.5
WMT,US9311421039,20210106,204,146.66,29918.64
WWE,US98156Q1085,20210106,2027,48.5,98309.5
SFIX,US8608971078,20210106,-900,60.16,-54144
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20210107,2742,17.42,47765.64
ETSY,US29786A1060,20210107,457,170.79,78051.03
IWV,US4642876894,20210107,12127,227.84,2763015.68
MPW,US58463J3041,20210107,3000,20.49,61470
PFE,US7170811035,20210107,2350,37.06,87091
WMT,US9311421039,20210107,204,146.65,29916.6
WWE,US98156Q1085,20210107,2027,48.43,98167.61
SFIX,US8608971078,20210107,-900,57.8,-52020
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20210108,2742,17.27,47354.34
ETSY,US29786A1060,20210108,457,175.65,80272.05
IWV,US4642876894,20210108,12127,229.05,2777689.35
MPW,US58463J3041,20210108,3000,21.07,63210
PFE,US7170811035,20210108,2350,37.13,87255.5
WMT,US9311421039,20210108,204,146.63,29912.52
WWE,US98156Q1085,20210108,2027,48.24,97782.48
SFIX,US8608971078,20210108,-900,55.56,-50004
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20210111,2742,18.04,49465.68
ETSY,US29786A1060,20210111,457,183.04,83649.28
IWV,US4642876894,20210111,12127,227.66,2760832.82
MPW,US58463J3041,20210111,3000,20.85,62550
PFE,US7170811035,20210111,2350,37.77,88759.5
WMT,US9311421039,20210111,204,147.29,30047.16
WWE,US98156Q1085,20210111,2027,47.25,95775.75
SFIX,US8608971078,20210111,-900,56.53,-50877
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20210112,2742,18.58,50946.36
